doc,PC0,PC1,PC2,PC3,PC4
Nepal_2010,-4.4758199002470665e-05,-0.0003901823791084219,-0.00030349616842804316,0.00012962792825564417,-0.00034958665644425197
Netherlands_2008,-0.00032382971058352136,0.0007291878067829684,-0.0004362267443626812,-1.7471158356286752e-05,-0.0007242044578634496
Nicaragua_2005,-0.00010937006822429013,-0.000671416791680532,-0.00031732709508709245,3.0952398363952344e-05,-1.2493378984104058e-06
Niger_2010,-0.0001226402260132956,-0.0006313053341547895,-0.0004000407698419073,4.0807981963077316e-05,-5.426418477064862e-05
Nigeria_1999,0.0028355741539294464,0.0016440250592717615,0.0003553220645760136,-0.00048234628773660557,0.00030043659572752423
Norway_2004,-0.00013075609923190627,-0.0004900144648946877,-0.0003875099627315896,3.772073085328149e-06,-9.054563343415408e-05
Oman_2011,-0.0001544909056257562,-0.0003018408078689305,-0.0002960335941790049,-0.00015137948129529346,-0.0001207817124498247
Pakistan_2012,0.0006970385783818755,0.00032400242938137284,-0.0003045360176330454,-4.359958592753002e-05,-0.0004483464118123727
Palau_1992,-0.00015809664707444284,-5.94390919163778e-06,-7.779469050649541e-05,-0.0003114846288173583,0.0004503463478974357
Panama_2004,-0.00010848131656909628,-0.0006416173165985625,-0.00033949344679684687,4.448542310768668e-05,1.7839490470022655e-05
Papua_New_Guinea_1991,-0.000454663742667563,0.002273992569379119,0.000363002454853638,-7.281698399766173e-05,-0.0003679018492377971
Paraguay_2011,-0.00012418032892886976,-0.0009030608191383531,0.00010130456659342263,1.361582224475791e-05,0.0006608207684849705
Peoples_Republic_of_Korea_1998,-0.0001349353526098331,-0.0006687455865738972,-0.0002625814881061766,3.208083506202049e-05,-0.0002524041225114511
Peru_2009,-0.00018394075187688498,-0.0012582881771804376,0.001191736758946969,-1.1810473663419958e-05,0.0018424025868086918
Philippines_1987,-0.00020926423595870746,-0.0008427127749340793,0.0014262711533187754,-0.0002359459058283692,0.0020475182986606525
Poland_1997,-0.0001474445085242425,-0.0005499057547073997,-0.00025288736429780333,-2.2288204542503917e-05,0.00014290501478198076
Portugal_2005,-9.41307875780711e-05,-0.000704990062668074,-0.0002468634873073206,7.629067964921549e-05,-0.0002400547615431374
Qatar_2003,-0.00012282520283616195,-0.0006357493827652059,-0.0002114340338684632,3.8665060398594976e-05,-0.00024380354082117775
Republic_of_Korea_1987,-0.00011390286041808463,-0.0005937208718874275,-0.0003521352771403777,2.9467495559406723e-05,-5.494221340703951e-05
Romania_2003,-0.00015443484576763464,-0.0006374995679132326,-0.00022597388604368826,4.0036554315413334e-05,-0.0002220030113493726
Russia_2008,0.017788019774526004,0.000865953255737283,0.0005015899240898121,0.00010404319161170427,1.4799517473343672e-05
Rwanda_2010,-0.00019064658732637378,-0.0004415613730532244,-0.00044645991119285616,0.0001156707972640994,-8.651082249571514e-05
Samoa_2010,-0.00020154283423236467,0.00021039174946605474,-0.0002680336807096643,9.35102520637319e-05,-0.0004883653172146492
Sao_Tome_and_Principe_1990,-0.00010746732061399315,-0.0006690867931672982,-0.00037313056033914184,4.455727870119682e-05,-7.468180586404926e-05
Saudi_Arabia_2005,-0.00020406277758814624,-0.00042333798596402785,-0.0005064528200894609,-1.657528110988338e-05,-0.0003096064278781026
Senegal_2009,-0.00015020201287434406,-0.0005285747836024462,-0.0003765491359025946,9.426795210578349e-07,3.91150506758801e-05
Serbia_2006,-2.6107162248131755e-05,-0.0007582798314862856,-0.00025191118557424646,2.4588299783419218e-05,-0.0002867561605041752
Seychelles_2011,-0.00015195616537268922,4.0950319837812647e-05,-0.0002576085137794939,6.525142557042766e-05,-0.0003872191012588114
Sierra_Leone_2008,-0.0004549059025868584,0.002270385320599546,0.0003734468250535862,-4.0158560466850316e-05,-0.0004398303693605717
Singapore_2010,-0.00016254401106480766,0.00048626344487426776,-0.00025557062538260344,0.00012146310719070587,-0.0006561720363801451
Slovakia_2001,-1.750301093904281e-05,-0.0006483708031945959,-0.00038822301130188997,3.991793767880434e-05,-0.00012698680160705213
Slovenia_2006,-8.870049564421293e-05,-0.0006732142912383156,-0.00028347212150949967,5.246675299691694e-05,-0.0002730463787113216
Socialist_Republic_of_Vietnam_2001,-8.10295347084866e-05,-0.0007044370046451934,-0.0002636810446093907,3.516623569842097e-05,-0.00016207052030457866
Solomon_Islands_2009,-0.0004885967716317045,0.0025794357466529813,0.0005652062428447507,-0.00022361702791625577,-0.00013265739076648433
Somalia_2012,-2.65791399558868e-05,0.0004899081125781423,-0.00024116804663965898,-0.00017554823436386613,-0.00022120158691130032
