,term_str,x,y,cluster
423,9,12.2244005,-73.38112,"x 0 to 20, y -80 to -55"
1834,90,17.935568,-67.63029,"x 0 to 20, y -80 to -55"
2652,91,7.982273,-65.711174,"x 0 to 20, y -80 to -55"
3020,92,8.55984,-59.922447,"x 0 to 20, y -80 to -55"
2722,93,8.996132,-62.852386,"x 0 to 20, y -80 to -55"
3293,94,9.820667,-58.544876,"x 0 to 20, y -80 to -55"
2956,95,9.3818,-60.0993,"x 0 to 20, y -80 to -55"
3493,96,9.655393,-56.91133,"x 0 to 20, y -80 to -55"
3463,97,11.126026,-58.694733,"x 0 to 20, y -80 to -55"
3097,98,11.497535,-58.010685,"x 0 to 20, y -80 to -55"
3258,99,8.262811,-57.082863,"x 0 to 20, y -80 to -55"
2997,bis,12.185255,-63.317398,"x 0 to 20, y -80 to -55"
1780,clauses,19.214977,-56.166813,"x 0 to 20, y -80 to -55"
2318,column,15.254341,-57.587715,"x 0 to 20, y -80 to -55"
1861,ft,18.54702,-61.360245,"x 0 to 20, y -80 to -55"
1737,hereof,14.427708,-57.004772,"x 0 to 20, y -80 to -55"
1971,inclusive,12.743494,-62.553276,"x 0 to 20, y -80 to -55"
