,term_str,x,y,cluster
337,submitted,-32.34044,-53.202,"x -50 to -30, y -55 to -30"
2942,substantiated,-30.854664,-37.114456,"x -50 to -30, y -55 to -30"
2063,substituted,-31.768648,-38.366558,"x -50 to -30, y -55 to -30"
1832,summoned,-30.083828,-46.495895,"x -50 to -30, y -55 to -30"
913,supported,-35.651863,-51.218548,"x -50 to -30, y -55 to -30"
848,suspended,-47.286835,-39.352833,"x -50 to -30, y -55 to -30"
2474,sworn,-35.73065,-43.159775,"x -50 to -30, y -55 to -30"
2954,tabled,-31.161924,-48.369167,"x -50 to -30, y -55 to -30"
1926,terminated,-46.232136,-40.974083,"x -50 to -30, y -55 to -30"
2543,threatened,-37.99939,-37.22731,"x -50 to -30, y -55 to -30"
1249,transferred,-45.761543,-39.420258,"x -50 to -30, y -55 to -30"
2476,transmitted,-30.705736,-53.26149,"x -50 to -30, y -55 to -30"
1046,tried,-43.45109,-31.171364,"x -50 to -30, y -55 to -30"
550,unable,-48.60662,-47.883343,"x -50 to -30, y -55 to -30"
2079,undertaken,-34.054203,-40.26057,"x -50 to -30, y -55 to -30"
875,used,-40.163986,-40.561996,"x -50 to -30, y -55 to -30"
2864,varied,-43.92707,-39.52734,"x -50 to -30, y -55 to -30"
563,vested,-49.95617,-42.65135,"x -50 to -30, y -55 to -30"
2372,violated,-37.85262,-38.43843,"x -50 to -30, y -55 to -30"
1066,voted,-34.329258,-49.32744,"x -50 to -30, y -55 to -30"
31,which,-30.781427,-34.89426,"x -50 to -30, y -55 to -30"
1567,withdrawn,-48.721363,-36.37232,"x -50 to -30, y -55 to -30"
3718,withheld,-39.15574,-32.62209,"x -50 to -30, y -55 to -30"
39,1,8.660432,-75.51008,"x 0 to 20, y -80 to -55"
484,10,13.176577,-73.03615,"x 0 to 20, y -80 to -55"
2347,100,14.556346,-64.22988,"x 0 to 20, y -80 to -55"
3535,101,10.853081,-57.16618,"x 0 to 20, y -80 to -55"
3044,102,7.157146,-59.507812,"x 0 to 20, y -80 to -55"
3391,103,8.04382,-57.992912,"x 0 to 20, y -80 to -55"
2998,104,5.9973593,-60.6619,"x 0 to 20, y -80 to -55"
3139,105,11.182694,-59.836506,"x 0 to 20, y -80 to -55"
3594,106,10.390687,-55.44431,"x 0 to 20, y -80 to -55"
3534,107,8.611674,-57.145203,"x 0 to 20, y -80 to -55"
3330,108,10.220478,-60.693913,"x 0 to 20, y -80 to -55"
3335,109,9.619639,-60.484184,"x 0 to 20, y -80 to -55"
742,11,11.741762,-72.70032,"x 0 to 20, y -80 to -55"
2701,110,5.8028464,-65.51526,"x 0 to 20, y -80 to -55"
2726,111,5.620598,-60.007862,"x 0 to 20, y -80 to -55"
2916,112,5.741164,-58.41837,"x 0 to 20, y -80 to -55"
3174,113,8.943716,-58.633926,"x 0 to 20, y -80 to -55"
3716,114,10.215233,-58.039375,"x 0 to 20, y -80 to -55"
2686,115,7.133599,-65.52662,"x 0 to 20, y -80 to -55"
3438,116,11.426133,-57.490532,"x 0 to 20, y -80 to -55"
