doc,div1,div2,unit,para,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,n
Namibia_2010,7,0,15,2,2,1,0,2,0,2,2,3,1,6
Namibia_2010,7,0,15,3,3,1,0,3,0,3,3,2,-1,6
Namibia_2010,7,0,16,0,0,0,0,1,0,0,0,0,1,1
Namibia_2010,7,0,16,1,0,0,0,1,1,0,0,2,3,3
Namibia_2010,7,0,16,2,0,0,0,1,0,0,0,1,2,2
Namibia_2010,7,0,16,3,0,0,0,0,1,0,0,2,3,3
Namibia_2010,7,0,17,1,0,0,0,0,0,0,0,1,1,1
Namibia_2010,7,0,17,2,0,0,0,0,0,0,0,5,5,5
Namibia_2010,7,0,17,3,2,0,2,0,0,0,0,1,-1,3
Namibia_2010,7,0,17,4,0,0,0,0,0,0,0,2,2,2
Namibia_2010,7,0,17,5,0,1,0,0,1,0,0,2,2,2
Namibia_2010,7,0,18,0,0,1,0,0,0,0,0,0,1,1
Namibia_2010,7,0,18,1,0,2,0,0,1,0,0,2,4,4
Namibia_2010,7,0,18,2,0,4,0,0,1,2,0,3,4,8
Namibia_2010,7,0,19,1,0,0,0,0,0,0,0,1,1,1
Namibia_2010,7,0,19,2,0,1,0,0,0,0,0,2,3,3
Namibia_2010,7,0,19,3,0,0,0,0,0,0,0,1,1,1
Namibia_2010,7,0,19,4,0,0,0,0,1,0,0,1,2,2
Namibia_2010,7,0,19,5,0,0,0,0,0,0,0,3,3,3
Namibia_2010,7,0,19,6,0,1,0,0,0,0,0,3,4,4
Namibia_2010,7,0,20,1,0,2,0,1,2,0,1,5,4,6
Namibia_2010,7,0,20,2,0,0,0,0,0,0,0,1,1,1
Namibia_2010,7,0,20,3,0,0,0,1,1,0,0,2,1,3
Namibia_2010,7,0,20,4,0,0,0,0,0,0,0,1,1,1
Namibia_2010,7,0,20,5,0,2,0,2,3,0,2,2,4,4
Namibia_2010,7,0,20,6,0,2,0,0,3,0,2,3,3,3
Namibia_2010,7,0,20,8,0,0,0,0,0,0,0,2,2,2
Namibia_2010,7,0,20,9,0,0,0,0,1,0,0,1,1,1
Namibia_2010,7,0,20,10,0,1,0,0,1,0,1,4,4,4
Namibia_2010,7,0,20,11,0,0,0,1,0,0,0,3,3,3
Namibia_2010,7,0,21,1,1,0,0,1,0,1,0,2,1,3
Namibia_2010,7,0,21,2,1,1,0,1,0,0,0,3,3,4
Namibia_2010,7,0,21,3,2,1,0,2,2,1,0,5,4,7
Namibia_2010,7,0,21,4,2,1,0,2,0,1,0,1,0,3
Namibia_2010,7,0,22,1,1,1,0,1,0,0,0,3,3,4
Namibia_2010,7,0,22,2,0,1,0,0,0,0,0,1,2,2
Namibia_2010,7,0,23,1,2,1,0,2,1,1,1,1,-1,3
Namibia_2010,7,0,23,2,1,0,1,1,0,1,0,0,-1,1
Namibia_2010,7,0,24,1,0,0,0,0,2,0,0,4,4,4
Namibia_2010,8,0,0,0,0,1,0,0,0,0,0,1,1,1
Namibia_2010,8,0,1,1,0,1,0,0,0,0,0,1,1,1
Namibia_2010,8,0,2,1,0,2,0,0,0,0,0,2,2,2
Namibia_2010,8,0,2,2,0,1,0,0,0,0,0,1,1,1
Namibia_2010,8,0,3,1,0,1,0,0,0,0,0,1,1,1
Namibia_2010,8,0,3,2,1,3,1,1,0,2,2,2,0,4
Namibia_2010,8,0,4,0,0,0,0,0,0,0,0,1,1,1
Namibia_2010,8,0,4,1,0,1,0,0,0,0,0,4,4,4
Namibia_2010,8,0,5,1,0,1,0,0,0,0,0,5,5,5
Namibia_2010,8,0,6,1,0,4,0,2,1,2,1,6,4,8
Namibia_2010,8,0,7,1,0,1,0,0,0,0,0,1,1,1
Namibia_2010,8,0,7,2,0,0,0,0,0,0,0,1,1,1
Namibia_2010,8,0,7,3,0,0,0,1,0,0,0,3,2,4
Namibia_2010,8,0,7,4,0,0,0,0,0,0,0,2,2,2
Namibia_2010,8,0,7,5,0,0,0,0,0,0,0,1,1,1
Namibia_2010,8,0,7,6,0,2,0,0,0,0,0,2,2,2
Namibia_2010,8,0,7,7,0,1,0,1,0,0,0,1,2,2
Namibia_2010,8,0,7,8,0,1,0,0,0,0,0,1,1,1
Namibia_2010,8,0,7,9,0,4,0,0,0,0,0,5,5,5
Namibia_2010,8,0,7,10,2,1,2,0,0,0,0,1,-1,3
Namibia_2010,8,0,7,11,0,2,0,0,1,0,0,2,2,2
Namibia_2010,8,0,8,1,0,1,0,0,0,0,0,2,2,2
Namibia_2010,8,0,8,2,0,1,0,0,0,0,0,1,1,1
Namibia_2010,8,0,8,3,0,2,0,0,1,0,1,5,5,5
Namibia_2010,8,0,8,4,0,1,0,0,0,0,0,2,2,2
Namibia_2010,8,0,8,5,0,2,0,0,0,0,0,7,7,7
Namibia_2010,8,0,8,6,0,2,0,0,1,0,0,5,5,5
Namibia_2010,8,0,8,7,0,1,0,0,2,0,0,7,7,7
Namibia_2010,8,0,8,8,0,3,0,0,2,0,1,6,6,6
Namibia_2010,8,0,8,9,0,2,0,0,1,0,0,6,6,6
Namibia_2010,8,0,8,10,0,1,0,0,0,0,0,0,1,1
Namibia_2010,8,0,8,11,1,5,0,1,1,1,1,7,7,9
Namibia_2010,8,0,8,12,0,1,0,0,0,0,0,5,5,5
Namibia_2010,8,0,9,1,0,2,0,0,1,0,0,3,3,3
Namibia_2010,8,0,10,1,1,3,0,2,5,3,2,6,3,8
Namibia_2010,9,0,0,0,0,0,0,0,0,0,0,1,1,1
Namibia_2010,9,0,1,0,0,1,0,0,0,0,0,1,0,1
Namibia_2010,9,0,1,1,0,1,0,0,0,0,0,1,1,1
Namibia_2010,9,0,1,2,1,1,0,1,0,0,0,0,0,1
Namibia_2010,9,0,1,3,1,1,0,1,0,0,0,0,0,1
Namibia_2010,9,0,1,4,0,0,0,0,0,1,0,0,-1,1
Namibia_2010,9,0,1,6,0,3,0,0,1,0,1,6,6,6
Namibia_2010,9,0,1,7,4,6,0,4,1,0,1,1,1,6
Namibia_2010,9,0,2,0,1,1,0,1,0,0,0,0,0,1
Namibia_2010,9,0,2,1,1,2,0,1,0,0,0,3,3,4
Namibia_2010,9,0,2,2,3,4,0,4,1,0,1,3,2,7
Namibia_2010,9,0,2,3,1,1,1,1,0,1,0,0,-2,3
Namibia_2010,9,0,2,4,1,1,0,1,0,0,0,0,0,1
Namibia_2010,9,0,3,0,1,1,0,1,0,0,0,0,0,1
Namibia_2010,9,0,3,1,1,2,0,1,0,0,0,2,2,3
Namibia_2010,9,0,3,2,3,2,1,5,0,1,0,1,-3,7
Namibia_2010,9,0,3,3,1,1,0,1,0,0,0,0,0,1
Namibia_2010,9,0,4,0,1,1,0,1,0,0,0,0,0,1
Namibia_2010,9,0,4,1,2,2,0,2,0,0,0,0,0,2
Namibia_2010,9,0,5,1,2,3,0,2,0,0,0,3,3,5
Namibia_2010,9,0,5,2,2,2,0,2,1,0,0,7,8,10
Namibia_2010,9,0,5,3,3,4,0,3,1,0,1,3,3,6
Namibia_2010,9,0,5,4,0,0,0,0,0,0,0,1,1,1
Namibia_2010,9,0,6,0,0,0,0,0,0,1,0,0,-1,1
Namibia_2010,9,0,6,1,0,0,0,0,1,1,0,0,0,2
Namibia_2010,9,0,6,2,0,1,0,0,0,1,0,1,0,2
Namibia_2010,9,0,7,1,0,1,0,0,0,0,0,2,2,2
Namibia_2010,9,0,7,2,0,0,2,0,0,0,0,0,-2,2
Namibia_2010,9,0,7,3,0,1,0,0,0,0,0,2,2,2
Namibia_2010,9,0,7,4,0,2,0,0,0,0,0,3,3,3
Namibia_2010,9,0,7,5,0,1,0,0,0,0,0,2,2,2
Namibia_2010,9,0,8,0,0,1,0,0,0,0,0,1,1,1
Namibia_2010,9,0,8,1,0,1,0,0,0,0,0,6,6,6
