term_str,x,y,cluster
initiated,-33.2173,-49.118374,"x -50 to -30, y -55 to -30"
installed,-35.814648,-37.12931,"x -50 to -30, y -55 to -30"
instituted,-31.998825,-44.020714,"x -50 to -30, y -55 to -30"
insufficient,-32.394863,-35.238163,"x -50 to -30, y -55 to -30"
integrated,-36.802097,-35.246593,"x -50 to -30, y -55 to -30"
interpreted,-38.11485,-41.069202,"x -50 to -30, y -55 to -30"
introduced,-32.02079,-49.595646,"x -50 to -30, y -55 to -30"
invalidated,-35.319065,-40.586926,"x -50 to -30, y -55 to -30"
inviolable,-43.190266,-36.427444,"x -50 to -30, y -55 to -30"
involved,-35.802868,-30.927782,"x -50 to -30, y -55 to -30"
issued,-38.647293,-52.721622,"x -50 to -30, y -55 to -30"
judged,-34.063305,-40.551258,"x -50 to -30, y -55 to -30"
justified,-33.60779,-38.447052,"x -50 to -30, y -55 to -30"
kept,-36.78619,-41.57055,"x -50 to -30, y -55 to -30"
left,-31.767342,-32.973248,"x -50 to -30, y -55 to -30"
limited,-43.402878,-41.532875,"x -50 to -30, y -55 to -30"
made,-38.600628,-53.02515,"x -50 to -30, y -55 to -30"
maintained,-39.6242,-41.25185,"x -50 to -30, y -55 to -30"
managed,-39.714134,-36.559635,"x -50 to -30, y -55 to -30"
met,-37.28886,-39.664146,"x -50 to -30, y -55 to -30"
modified,-37.85181,-54.77018,"x -50 to -30, y -55 to -30"
named,-35.400745,-36.574276,"x -50 to -30, y -55 to -30"
never,-30.507511,-30.491713,"x -50 to -30, y -55 to -30"
nominated,-43.600883,-51.65529,"x -50 to -30, y -55 to -30"
obligated,-47.63987,-46.74614,"x -50 to -30, y -55 to -30"
obliged,-47.854534,-46.853924,"x -50 to -30, y -55 to -30"
observed,-37.492706,-43.523743,"x -50 to -30, y -55 to -30"
occupied,-36.86165,-37.432213,"x -50 to -30, y -55 to -30"
opened,-36.44415,-42.04863,"x -50 to -30, y -55 to -30"
ordered,-33.333206,-43.003426,"x -50 to -30, y -55 to -30"
organised,-37.02235,-35.97231,"x -50 to -30, y -55 to -30"
organized,-41.546062,-44.788452,"x -50 to -30, y -55 to -30"
owned,-40.421646,-36.146408,"x -50 to -30, y -55 to -30"
passed,-34.87633,-53.35699,"x -50 to -30, y -55 to -30"
performed,-47.843624,-41.765305,"x -50 to -30, y -55 to -30"
permissible,-39.612343,-39.429787,"x -50 to -30, y -55 to -30"
permitted,-46.499397,-45.709805,"x -50 to -30, y -55 to -30"
placed,-36.22636,-40.930634,"x -50 to -30, y -55 to -30"
prepared,-35.61294,-47.25648,"x -50 to -30, y -55 to -30"
present,-30.83781,-49.168953,"x -50 to -30, y -55 to -30"
presented,-32.127243,-53.14163,"x -50 to -30, y -55 to -30"
prevented,-48.31847,-35.126125,"x -50 to -30, y -55 to -30"
proclaimed,-36.05908,-43.35976,"x -50 to -30, y -55 to -30"
produced,-32.908527,-39.381165,"x -50 to -30, y -55 to -30"
prohibited,-43.799965,-37.328392,"x -50 to -30, y -55 to -30"
promoted,-38.15983,-36.039635,"x -50 to -30, y -55 to -30"
promulgated,-36.77271,-54.45274,"x -50 to -30, y -55 to -30"
pronounced,-33.64246,-42.142,"x -50 to -30, y -55 to -30"
proposed,-33.305122,-50.716667,"x -50 to -30, y -55 to -30"
prosecuted,-42.631935,-30.6031,"x -50 to -30, y -55 to -30"
protected,-40.30104,-43.005344,"x -50 to -30, y -55 to -30"
punishable,-44.341488,-31.936506,"x -50 to -30, y -55 to -30"
